Sale Date,Local Item Code,Brand Name,Size,Quantity(Case),Quantity(Loose Bottle)
10/10/2023,SCMIT381786,Budweiser King of Beer .,500 ML (CAN),,
10/10/2023,SCMIT381831,Budweiser King of Beer .,650 ML,,
10/10/2023,SCMIT603636,Budweiser King of Beer .,15 Ltr,,
10/10/2023,SCMIT603681,Budweiser King of Beer .,30 Ltr,,
10/10/2023,SCMIT603726,Budweiser King of Beer .,50 Ltr,,
10/10/2023,SCMIT784626,Budweiser Magnum  Super Premium Beer .,330 ML,,
10/10/2023,SCMIT784671,Budweiser Magnum  Super Premium Beer .,500 ML (CAN),,
10/10/2023,SCMIT784716,Budweiser Magnum  Super Premium Beer .,650 ML,,
10/10/2023,SCMIT1052691,Budweiser Magnum Double Barrel Blended American Whisky .,750 ML,,
10/10/2023,SCMIT711186,Budweiser Magnum King of Beer .,330 ML,,
10/10/2023,SCMIT711231,Budweiser Magnum King of Beer .,500 ML (CAN),,
10/10/2023,SCMIT711276,Budweiser Magnum King of Beer .,650 ML,,
10/10/2023,SCMIT382011,Budweiser Magnum Premium Strong Beers .,330 ML,,
10/10/2023,SCMIT382056,Budweiser Magnum Premium Strong Beers .,500 ML (CAN),,
10/10/2023,SCMIT382101,Budweiser Magnum Premium Strong Beers .,650 ML,,
10/10/2023,SCMIT603501,Budweiser Magnum Premium Strong Beers .,15 Ltr,,
10/10/2023,SCMIT603546,Budweiser Magnum Premium Strong Beers .,30 Ltr,,
10/10/2023,SCMIT603591,Budweiser Magnum Premium Strong Beers .,50 Ltr,,
10/10/2023,SCMIT822291,Budweiser Magnum Strong Beer .,250 ML(24),,
10/10/2023,SCMIT381876,Budweiser Magnum Strong Beer .,330 ML,,
10/10/2023,SCMIT381921,Budweiser Magnum Strong Beer .,500 ML (CAN),,
10/10/2023,SCMIT381966,Budweiser Magnum Strong Beer .,650 ML,,
10/10/2023,SCMIT603366,Budweiser Magnum Strong Beer .,15 Ltr,,
10/10/2023,SCMIT603411,Budweiser Magnum Strong Beer .,30 Ltr,,
10/10/2023,SCMIT603456,Budweiser Magnum Strong Beer .,50 Ltr,,
10/10/2023,SCMIT785391,Budweiser Premium King of Beer .,250 ML (CAN),,
10/10/2023,SCMIT3786,Budweiser Premium King of Beer .,330 ML,,
10/10/2023,SCMIT3831,Budweiser Premium King of Beer .,330 ML (CAN),,
10/10/2023,SCMIT381606,Budweiser Premium King of Beer .,500 ML (CAN),,
10/10/2023,SCMIT381651,Budweiser Premium King of Beer .,650 ML,,
10/10/2023,SCMIT603771,Budweiser Premium King of Beer .,15 Ltr,,
10/10/2023,SCMIT603816,Budweiser Premium King of Beer .,30 Ltr,,
10/10/2023,SCMIT603861,Budweiser Premium King of Beer .,50 Ltr,,
10/10/2023,SCMIT1219371,Cabo White Rum With Coconut Liquer .,60 ML,,
10/10/2023,SCMIT1079691,Cabo White Rum With Coconut Liquer .,750 ML,,
10/10/2023,SCMIT907071,Cabo White Rum With Coconut Liquer .,4500 ML,,
10/10/2023,SCMIT382281,Canon 10000 Super Strong Beer .,330 ML,,
10/10/2023,SCMIT382326,Canon 10000 Super Strong Beer .,650 ML,,
10/10/2023,SCMIT369906,Captain Morgan The Orgiginal Rum .,90 ML (Pet)-96,,
10/10/2023,SCMIT369951,Captain Morgan The Orgiginal Rum .,180 ML,,
